T̩cnica,Tempo,accuracy,balanced_accuracy,precision,recall,f1
GradientBoostingClassifier,19.15,0.8018,0.8020,0.7917,0.7989,0.7754
MLPClassifier,355.4,0.7926,0.7915,0.7902,0.8074,0.7752
KNeighborsClassifier,0.0228,0.7537,0.7491,0.7397,0.8192,0.7715
RandomForestClassifier,15.7502,0.7855,0.7851,0.7739,0.7925,0.7687
LinearSVC,0.1201,0.7895,0.7884,0.7845,0.8042,0.7673
ExtraTreesClassifier,22.4640,0.7850,0.7843,0.7756,0.7948,0.7663
BaggingClassifier,27.82,0.7829,0.7838,0.7914,0.7696,0.7662
SGDClassifier,0.0980,0.7880,0.7870,0.7772,0.8016,0.7662
AdaBoostClassifier,5.281,0.7738,0.7722,0.7558,0.7965,0.7654
PassiveAggressiveClassifier,0.0577,0.7818,0.7806,0.7768,0.7988,0.7639
RidgeClassifier,0.0945,0.7815,0.7801,0.7724,0.8020,0.7625
DecisionTreeClassifier,3.5445,0.7649,0.7648,0.7698,0.7664,0.7563
NuSVC,88.82,0.7883,0.7886,0.7758,0.7830,0.7535
SVC,32.23,0.7798,0.7793,0.7717,0.7865,0.7479
ExtraTreeClassifier,0.2629,0.7439,0.7432,0.7343,0.7527,0.7359
DummyClassifier,0.0194,0.5329,0.5000,0.5329,1.0000,0.6953
